train/n_updates,time/total_timesteps,train/value_loss,time/iterations,train/learning_rate,train/std,train/reward,train/policy_loss,time/time_elapsed,train/explained_variance,train/entropy_loss,time/fps
99,500,4.3239240646362305,100,0.0007,1.0026766061782837,-0.13233304,-74.31951904296875,5,-0.5494149923324585,-41.21855926513672,88
199,1000,1.8466217517852783,200,0.0007,1.0051575899124146,-2.535911,-17.784048080444336,11,-0.6034978628158569,-41.293758392333984,88
299,1500,47.821388244628906,300,0.0007,1.0050009489059448,6.537598,-288.698974609375,17,-0.3059360980987549,-41.290489196777344,86
399,2000,3.4330222606658936,400,0.0007,1.0068836212158203,2.1479204,30.61495590209961,23,0.2530999779701233,-41.34081268310547,86
499,2500,302.93450927734375,500,0.0007,1.0054479837417603,-9.427472,632.2979736328125,28,-0.016251206398010254,-41.296382904052734,87
599,3000,3.9124112129211426,600,0.0007,1.0047377347946167,-0.15068369,79.36065673828125,34,0.0,-41.27728271484375,86
699,3500,7.785560607910156,700,0.0007,1.0079096555709839,-3.288243,-105.6671371459961,40,-0.07555341720581055,-41.37158203125,86
799,4000,7.255509853363037,800,0.0007,1.0080609321594238,0.17436719,-103.65608215332031,46,0.0,-41.368595123291016,86
899,4500,4.065342903137207,900,0.0007,1.0081026554107666,-0.839794,61.931976318359375,53,0.0,-41.376670837402344,84
999,5000,1.324499487876892,1000,0.0007,1.0121111869812012,-4.6412716,19.961204528808594,60,-2.396106719970703e-05,-41.488243103027344,83
1099,5500,29.3301944732666,1100,0.0007,1.0144848823547363,4.7802787,-219.89419555664062,67,0.0,-41.557525634765625,81
1199,6000,7.545594692230225,1200,0.0007,1.0134884119033813,0.11773435,-93.8805160522461,72,-0.033086299896240234,-41.52799606323242,82
1299,6500,8.591477394104004,1300,0.0007,1.0152554512023926,-5.718876,30.676677703857422,78,0.0,-41.57701873779297,82
1399,7000,23.272262573242188,1400,0.0007,1.0118474960327148,0.7794323,189.0292205810547,84,0.0,-41.482879638671875,83
1499,7500,38.801700592041016,1500,0.0007,1.0115762948989868,0.5175732,229.0875701904297,89,0.0,-41.478759765625,83
1599,8000,18.047882080078125,1600,0.0007,1.0124800205230713,-2.7812338,-120.97440338134766,95,0.0,-41.49646759033203,83
1699,8500,33.44873809814453,1700,0.0007,1.015794277191162,3.1860409,-182.00350952148438,101,-1.1920928955078125e-07,-41.58904266357422,84
1799,9000,0.8576502799987793,1800,0.0007,1.0174387693405151,-0.23214698,-21.98756980895996,106,0.0,-41.64365768432617,84
1899,9500,7.060161590576172,1900,0.0007,1.016111135482788,-0.96568674,98.67167663574219,112,1.1920928955078125e-07,-41.60421371459961,84
1999,10000,1.4903353452682495,2000,0.0007,1.0154790878295898,1.2766298,46.46870040893555,117,0.0,-41.58277130126953,84
2099,10500,11.380986213684082,2100,0.0007,1.0163363218307495,-0.26927665,114.70561218261719,123,0.0,-41.602684020996094,85
2199,11000,11.667527198791504,2200,0.0007,1.016348123550415,-5.829492,70.65126037597656,129,0.000870823860168457,-41.601036071777344,85
2299,11500,4730.73095703125,2300,0.0007,1.016516089439392,6.858333,-2724.339111328125,134,3.5762786865234375e-07,-41.60643005371094,85
2399,12000,9.12866497039795,2400,0.0007,1.0190532207489014,-0.16984573,62.72869110107422,140,-1.1920928955078125e-07,-41.680519104003906,85
2499,12500,0.8832745552062988,2500,0.0007,1.0191162824630737,0.76626056,-31.02374839782715,145,0.08416604995727539,-41.67607116699219,85
2599,13000,1.1415983438491821,2600,0.0007,1.0198410749435425,1.9435388,-41.764442443847656,151,0.0,-41.703269958496094,86
2699,13500,0.5244417786598206,2700,0.0007,1.0193666219711304,-0.5901537,21.552488327026367,156,0.0,-41.68829345703125,86
2799,14000,20.459115982055664,2800,0.0007,1.0188301801681519,9.229708,156.16326904296875,162,-0.4084208011627197,-41.66869354248047,86
2899,14500,6.664031982421875,2900,0.0007,1.0202254056930542,1.7659073,-102.14921569824219,167,0.0,-41.711814880371094,86
2999,15000,6.3576154708862305,3000,0.0007,1.0200096368789673,1.2650882,88.6353530883789,173,-0.18356049060821533,-41.70973205566406,86
3099,15500,4.944390296936035,3100,0.0007,1.0226227045059204,-0.9097153,76.21937561035156,178,0.0,-41.784385681152344,86
3199,16000,7.685789585113525,3200,0.0007,1.0245627164840698,-1.9507365,-35.05158233642578,184,0.0,-41.84146499633789,86
3299,16500,12.419623374938965,3300,0.0007,1.0238792896270752,-0.8297861,135.24151611328125,190,0.20819002389907837,-41.81807327270508,86
3399,17000,24.135074615478516,3400,0.0007,1.0240986347198486,2.1051621,166.7661590576172,195,0.01762080192565918,-41.818443298339844,86
3499,17500,13.992033004760742,3500,0.0007,1.0244357585906982,-0.5260096,112.07781982421875,201,0.029361844062805176,-41.835166931152344,86
3599,18000,9.965997695922852,3600,0.0007,1.0237096548080444,2.810325,-125.04496002197266,207,0.010166466236114502,-41.81304168701172,86
3699,18500,26.171619415283203,3700,0.0007,1.0238027572631836,1.571951,190.8744659423828,212,-0.015476822853088379,-41.81492233276367,87
3799,19000,11.34808349609375,3800,0.0007,1.0243661403656006,3.8574517,123.15423583984375,218,0.0,-41.82687759399414,87
3899,19500,2.202087640762329,3900,0.0007,1.0242559909820557,0.2826748,-0.09412231296300888,223,0.0,-41.82323455810547,87
3999,20000,19.853742599487305,4000,0.0007,1.027254581451416,4.5170774,-169.8097686767578,229,0.4784887433052063,-41.89790344238281,87
4099,20500,3.5603091716766357,4100,0.0007,1.0287623405456543,0.5731644,-40.85615539550781,235,-0.38419997692108154,-41.95223617553711,87
4199,21000,6.153133392333984,4200,0.0007,1.0301803350448608,0.8765886,-83.26423645019531,240,0.0,-41.9925537109375,87
4299,21500,2.113757610321045,4300,0.0007,1.03132963180542,4.30507,-33.603675842285156,247,-0.030642986297607422,-42.02718734741211,87
4399,22000,11.177085876464844,4400,0.0007,1.0302047729492188,3.4624014,115.74935150146484,252,-0.0010625123977661133,-41.98468780517578,86
4499,22500,61.5162467956543,4500,0.0007,1.029984951019287,-0.12872145,337.5343322753906,258,5.960464477539063e-08,-41.979469299316406,86
4599,23000,8.77503776550293,4600,0.0007,1.0307618379592896,2.735962,79.40885925292969,264,0.0,-42.00768280029297,86
4699,23500,8.158562660217285,4700,0.0007,1.0324506759643555,-0.3099432,-97.06977844238281,270,0.24203097820281982,-42.0534553527832,86
4799,24000,31.127538681030273,4800,0.0007,1.032834768295288,-0.34166875,-224.1480712890625,276,-0.873751163482666,-42.06357955932617,86
4899,24500,5.637913703918457,4900,0.0007,1.032517671585083,1.5482478,-75.42958068847656,282,1.1920928955078125e-07,-42.048866271972656,86
4999,25000,6.930018424987793,5000,0.0007,1.0320336818695068,0.23187165,74.89518737792969,287,1.1920928955078125e-07,-42.045127868652344,86
5099,25500,87.8699951171875,5100,0.0007,1.030632734298706,1.2840811,337.4388122558594,293,0.0,-42.00852584838867,86
5199,26000,187.90859985351562,5200,0.0007,1.0312016010284424,6.0785813,-475.59625244140625,299,0.0,-42.01738357543945,86
5299,26500,0.4418567717075348,5300,0.0007,1.032080054283142,0.9815916,-21.4749698638916,304,0.0,-42.04447555541992,86
5399,27000,7.2647271156311035,5400,0.0007,1.034235954284668,0.5960341,-90.05039978027344,310,0.0,-42.09904479980469,86
5499,27500,14.507843017578125,5500,0.0007,1.0354297161102295,4.9549365,147.78443908691406,316,0.021182477474212646,-42.13758087158203,86
5599,28000,19.31568717956543,5600,0.0007,1.0359528064727783,-2.7960758,-163.9402618408203,323,0.0,-42.14912414550781,86
5699,28500,12.618165016174316,5700,0.0007,1.0367276668548584,0.027417982,-62.87982177734375,328,0.0,-42.17219543457031,86
5799,29000,5.03150749206543,5800,0.0007,1.0357282161712646,1.2582628,-39.266029357910156,334,1.1920928955078125e-07,-42.14137268066406,86
5899,29500,1.3051902055740356,5900,0.0007,1.036932110786438,-0.4278828,38.316654205322266,340,0.0,-42.17728805541992,86
5999,30000,1.3572880029678345,6000,0.0007,1.0368480682373047,-0.729708,-28.224079132080078,346,0.0,-42.17715072631836,86
6099,30500,7.912889003753662,6100,0.0007,1.0342347621917725,-3.2547915,-68.36451721191406,352,1.1920928955078125e-07,-42.10033416748047,86
6199,31000,4.4474263191223145,6200,0.0007,1.0344510078430176,-0.5869953,-23.687557220458984,358,-2.384185791015625e-07,-42.107295989990234,86
6299,31500,41.325782775878906,6300,0.0007,1.0332746505737305,3.4590158,171.142822265625,364,0.0,-42.0798454284668,86
6399,32000,3.501152515411377,6400,0.0007,1.0319923162460327,1.6272374,75.54296112060547,370,-0.02484261989593506,-42.0324821472168,86
6499,32500,6.883921146392822,6500,0.0007,1.0333236455917358,-4.524019,9.666097640991211,376,0.0,-42.079200744628906,86
6599,33000,2.8880748748779297,6600,0.0007,1.0332906246185303,-0.14805299,-51.230010986328125,382,-7.486343383789062e-05,-42.070674896240234,86
6699,33500,292.8506164550781,6700,0.0007,1.0336631536483765,-7.1162667,-643.04248046875,387,-0.006281733512878418,-42.07903289794922,86
6799,34000,27.024398803710938,6800,0.0007,1.0349217653274536,1.0334767,-219.48886108398438,393,1.1920928955078125e-07,-42.116798400878906,86
6899,34500,120.57000732421875,6900,0.0007,1.0371496677398682,-0.3484445,-447.1585998535156,399,0.0,-42.1818733215332,86
6999,35000,3.8764572143554688,7000,0.0007,1.0369524955749512,0.534996,79.97893524169922,405,-0.04192304611206055,-42.16234588623047,86
7099,35500,5.939251899719238,7100,0.0007,1.0362411737442017,1.2963243,91.49713134765625,412,-0.003889799118041992,-42.147438049316406,86
7199,36000,181.6524200439453,7200,0.0007,1.0369501113891602,0.22902313,-521.7623901367188,417,0.0,-42.16411590576172,86
7299,36500,24.585159301757812,7300,0.0007,1.0390043258666992,1.9546772,139.00424194335938,423,0.0,-42.2198486328125,86
7399,37000,7.219867706298828,7400,0.0007,1.0387054681777954,-9.969413,-74.13047790527344,429,-0.0019768476486206055,-42.21881866455078,86
7499,37500,2.207967758178711,7500,0.0007,1.0395015478134155,-9.439439,-38.97954177856445,434,0.0,-42.23260498046875,86
7599,38000,9.35722541809082,7600,0.0007,1.0419384241104126,0.9589944,-119.3621597290039,440,0.0,-42.2972526550293,86
7699,38500,27.5219669342041,7700,0.0007,1.0433456897735596,1.3868288,-213.1145477294922,446,-1.1920928955078125e-07,-42.33457946777344,86
7799,39000,2.9561514854431152,7800,0.0007,1.0450117588043213,-0.21478522,-61.423622131347656,452,0.0,-42.385772705078125,86
7899,39500,75.23426818847656,7900,0.0007,1.0448757410049438,4.6684895,346.5964660644531,458,-1.1920928955078125e-07,-42.36784744262695,86
7999,40000,38.996707916259766,8000,0.0007,1.046657681465149,-0.34526503,-226.0253448486328,464,-0.0031627416610717773,-42.43532180786133,86
8099,40500,15.3902587890625,8100,0.0007,1.0456395149230957,5.6810927,-133.2058563232422,470,0.0,-42.40480422973633,86
8199,41000,0.5179296731948853,8200,0.0007,1.0462568998336792,0.28280675,20.91913414001465,476,0.0,-42.42015075683594,86
8299,41500,5.415825843811035,8300,0.0007,1.0467896461486816,-0.55561346,70.17350769042969,482,-1.1920928955078125e-07,-42.44696044921875,86
8399,42000,28.66815757751465,8400,0.0007,1.045779824256897,-2.4613855,-240.6399383544922,488,5.960464477539063e-08,-42.413326263427734,86
8499,42500,10.147732734680176,8500,0.0007,1.0489633083343506,0.8648286,-130.70431518554688,494,0.0,-42.501529693603516,85
8599,43000,24.704694747924805,8600,0.0007,1.0521231889724731,-8.143831,2.607867479324341,499,5.960464477539063e-08,-42.58230209350586,86
8699,43500,1.8082971572875977,8700,0.0007,1.051650881767273,0.7474861,30.144847869873047,505,5.960464477539063e-08,-42.56334686279297,85
8799,44000,0.7399203181266785,8800,0.0007,1.0512537956237793,0.2617416,-0.20939020812511444,511,0.002092123031616211,-42.55282211303711,85
8899,44500,2.7248892784118652,8900,0.0007,1.0495460033416748,-0.29029605,62.40528106689453,517,0.0,-42.509788513183594,85
8999,45000,1.763458251953125,9000,0.0007,1.0508989095687866,-0.5608065,17.146953582763672,523,1.1920928955078125e-07,-42.543052673339844,85
9099,45500,9.781578063964844,9100,0.0007,1.0503956079483032,0.28715888,-102.52103424072266,529,0.0,-42.530418395996094,85
9199,46000,27.180522918701172,9200,0.0007,1.0528756380081177,1.9136492,-154.1919403076172,536,0.0,-42.5989875793457,85
9299,46500,6.624957084655762,9300,0.0007,1.0539368391036987,0.71165574,-95.29935455322266,541,0.0013638734817504883,-42.61949920654297,85
9399,47000,12.8076810836792,9400,0.0007,1.053044080734253,-0.2757472,135.96780395507812,547,-1.1920928955078125e-07,-42.61037063598633,85
9499,47500,5.233822822570801,9500,0.0007,1.0547852516174316,2.692991,85.1395034790039,553,1.1920928955078125e-07,-42.660888671875,85
9599,48000,6.069101810455322,9600,0.0007,1.057255506515503,-0.8912019,-14.256057739257812,559,0.0,-42.72241973876953,85
9699,48500,1.119900107383728,9700,0.0007,1.0578179359436035,2.2742743,-12.25877857208252,565,0.0,-42.732635498046875,85
9799,49000,41.072509765625,9800,0.0007,1.0574554204940796,4.192392,190.17904663085938,571,1.1920928955078125e-07,-42.72819137573242,85
9899,49500,1.4441219568252563,9900,0.0007,1.0587711334228516,-0.019834107,46.65964126586914,577,5.960464477539063e-08,-42.76295852661133,85
9999,50000,2.3303191661834717,10000,0.0007,1.0617012977600098,-1.2959856,50.552276611328125,583,0.0,-42.82998275756836,85
